Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
559,3,0,3910,11,2006,1,5,2006,2
560,2,2,1910,7,2013,0,0,2013,0
561,3,0,14300,1,1990,0,0,1990,0
562,1,2,1210,1,1990,0,0,1990,0
563,0,0,700,3,2015,1,10,2015,1
564,3,2,6540,1,1990,1,14,1990,1
565,0,2,160,7,2007,0,0,2007,0
566,0,0,3620,1,1990,1,40,1990,1
567,2,0,1010,9,2012,1,18,2012,2
568,3,2,4270,1,1990,1,1,1990,1
569,0,0,1340,9,2006,0,0,2006,0
570,0,0,180,11,2006,0,0,2006,0
571,3,0,2110,11,1995,1,40,1995,1
572,3,2,9230,4,2004,1,37,2004,1
573,0,0,1190,11,2012,1,36,2012,1
574,3,0,4400,1,1990,0,0,1990,0
575,0,0,960,5,2008,1,13,2008,1
576,2,0,50,11,2006,0,0,2006,0
577,0,2,2270,1,1990,1,35,1990,3
578,3,0,12700,4,2013,0,0,2013,0
579,2,0,16107,11,2012,0,0,2012,0
580,0,2,170,2,2009,0,0,2009,0
581,0,0,7250,12,2013,0,0,2013,0
582,0,0,120,1,1990,0,0,1990,0
583,0,0,2640,11,2002,0,0,2002,0
584,3,0,1360,1,1990,1,35,1990,3
585,3,2,440,4,2014,0,0,2014,0
586,0,2,250,10,2008,0,0,2008,0
587,3,2,330,9,2006,1,14,2006,1
588,3,2,15720,3,2010,0,0,2010,0
589,0,2,360,1,1990,1,18,1990,2
590,3,2,4520,9,2010,1,31,2010,1
591,0,2,3340,1,1990,1,22,1990,3
592,0,0,2540,6,2005,0,0,2005,0
593,0,2,16107,3,2010,0,0,2010,0
594,0,0,1790,10,2011,0,0,2011,0
595,2,2,1130,6,2015,0,0,2015,0
596,2,0,290,9,2006,0,0,2006,0
597,0,0,150,9,2008,1,1,2008,3
598,2,0,550,12,2013,1,40,2013,1
599,3,2,580,11,2014,0,0,2014,0
600,3,2,16107,6,2010,1,9,2010,2
601,3,0,8220,4,2014,1,14,2014,1
602,0,0,2710,7,2001,1,22,2001,3
603,0,0,340,4,2007,1,13,2007,1
604,3,0,10950,3,2014,0,0,2014,0
605,3,0,10310,4,2003,1,37,2003,1
606,0,0,2260,11,2007,0,0,2007,0
607,0,0,350,8,1999,1,14,1999,1
608,0,2,16107,2,2013,1,14,2013,1
609,0,0,2070,9,2007,0,0,2007,0
610,0,0,660,1,2007,0,0,2007,0
611,0,0,8080,12,2002,1,40,2002,1
612,3,2,2490,11,2012,1,31,2012,1
613,2,0,250,6,2007,1,14,2007,1
614,0,0,1160,12,2012,0,0,2012,0
615,3,0,730,8,2007,0,0,2007,0
616,0,2,3040,8,2011,1,35,2011,3
617,0,2,8940,1,1990,1,9,1990,1
618,3,2,9910,1,1990,0,0,1990,0
619,0,0,1600,6,2006,1,45,2006,2
620,3,2,5440,1,1990,1,40,1990,1
621,0,0,30,7,2002,0,0,2002,0
622,0,2,2325,1,1990,0,0,1990,0
623,0,0,4080,3,2011,1,13,2011,1
624,0,2,6920,9,2011,0,0,2011,0
625,0,0,1170,4,2011,1,22,2011,2
626,2,2,10740,11,2013,0,0,2013,0
627,2,2,3970,3,2010,0,0,2010,0
628,0,2,2180,1,1990,0,0,1990,0
629,3,0,510,7,2014,1,23,2014,3
630,0,0,1690,4,2015,0,0,2015,0
631,3,2,2870,1,1990,1,35,1990,3
632,0,0,3350,2,2010,0,0,2010,0
633,3,0,11640,4,2005,1,22,2005,1
634,3,0,16107,1,1990,0,0,1990,0
635,0,0,16107,4,2014,0,0,2014,0
636,2,0,720,10,2004,1,13,2004,1
637,3,2,9790,1,1990,1,31,1990,2
638,3,0,10170,11,2001,0,0,2001,0
639,0,0,7780,11,2006,0,0,2006,0
640,3,2,8040,1,1990,0,0,1990,0
641,0,2,610,12,2003,1,36,2003,3
642,2,2,530,4,2005,1,35,2005,3
643,0,0,230,6,2010,1,18,2010,2
644,2,0,4030,12,2004,1,14,2004,1
645,0,0,90,1,1990,1,45,1990,2
646,0,0,620,9,2014,0,0,2014,0
647,0,2,7420,4,2013,0,0,2013,0
648,3,0,2130,12,2008,0,0,2008,0
649,0,0,14570,11,2002,0,0,2002,0
650,0,0,1420,10,2012,1,40,2012,1
651,0,0,200,1,1990,0,0,1990,0
652,0,0,16107,1,1990,0,0,1990,0
653,3,2,7520,7,2014,1,45,2014,2
654,2,0,6930,9,2006,0,0,2006,0
655,3,2,960,11,2012,1,5,2012,2
656,3,0,410,4,2009,1,13,2009,1
657,2,2,80,1,2006,1,10,2006,1
658,3,2,520,1,1990,1,37,1990,1
659,3,0,1590,3,2012,0,0,2012,0
660,0,0,1200,11,2006,1,40,2006,1
661,3,2,2140,7,2013,0,0,2013,0
662,3,0,1070,1,1990,0,0,1990,0
663,0,2,7860,5,2005,0,0,2005,0
664,3,2,1680,10,2005,0,0,2005,0
665,0,0,90,12,2012,1,14,2012,1
666,2,2,2700,1,1990,1,9,1990,3
667,3,2,2870,9,2012,0,0,2012,0
668,2,0,1270,9,2010,0,0,2010,0
669,3,0,16107,7,2012,1,31,2012,1
670,0,0,2060,1,1990,1,45,1990,2
671,0,2,2070,2,2008,1,39,2008,1
672,2,0,240,9,2002,0,0,2002,0
673,3,2,15170,1,1990,1,5,1990,2
674,0,0,2640,12,2005,1,31,2005,2
675,0,0,2100,8,2013,1,14,2013,1
676,1,1,1410,9,2008,0,0,2008,0
677,3,0,1740,6,2014,1,45,2014,2
678,2,0,3250,1,1990,1,40,1990,1
679,0,0,4140,9,2012,0,0,2012,0
680,2,0,170,1,1990,1,35,1990,3
681,0,2,620,1,1990,1,1,1990,3
682,1,0,150,9,2006,0,0,2006,0
683,0,0,2850,7,2014,0,0,2014,0
684,3,2,680,1,1990,1,22,1990,1
685,0,0,650,11,2013,1,37,2013,1
686,0,0,16107,4,2002,0,0,2002,0
687,3,2,2770,1,1990,0,0,1990,0
688,0,0,16107,8,2015,1,14,2015,1
689,3,0,15040,10,2004,0,0,2004,0
690,0,0,100,1,1990,0,0,1990,0
691,3,2,3030,1,1990,1,37,1990,1
692,0,0,40,8,2001,0,0,2001,0
693,3,0,450,1,1990,1,40,1990,1
694,0,2,460,11,2012,1,40,2012,1
695,0,0,550,7,2011,1,1,2011,1
696,0,2,430,1,1990,0,0,1990,0
697,3,0,3780,1,1990,1,40,1990,1
698,0,0,1790,5,2011,0,0,2011,0
699,0,0,180,1,1990,1,5,1990,1
700,0,2,830,1,1990,1,27,1990,1
701,3,0,1450,3,2012,1,14,2012,1
702,0,0,8550,9,2001,1,45,2001,2
703,0,0,80,6,2005,0,0,2005,0
704,3,2,1910,4,2009,0,0,2009,0
705,0,0,4140,9,2012,1,18,2012,2
706,3,0,7830,9,2014,1,10,2014,3
707,0,2,2900,7,1990,0,0,1990,0
708,2,2,11470,10,2009,1,18,2009,1
709,0,0,500,12,2010,0,0,2010,0
710,3,0,1500,9,2008,1,14,2008,1
711,3,0,16107,3,2007,1,5,2007,1
712,0,0,4870,9,2007,1,45,2007,1
713,0,2,220,1,1990,1,10,1990,1
714,3,2,12070,10,2005,1,10,2005,1
715,0,0,14810,6,2014,0,0,2014,0
716,3,0,3200,1,2008,1,22,2008,1
717,3,2,310,1,1990,1,40,1990,1
718,0,0,1100,6,2015,0,0,2015,0
719,2,2,8190,1,1990,1,45,1990,2
720,0,2,15320,3,2011,1,14,2011,2
721,0,2,3590,9,2012,1,22,2012,3
722,0,0,50,1,1990,0,0,1990,0
723,3,2,5650,9,2008,1,5,2008,2
724,3,2,5900,1,1990,0,0,1990,0
725,3,2,16107,6,2012,0,0,2012,0
726,0,2,16107,2,2002,0,0,2002,0
727,0,0,2050,3,2007,0,0,2007,0
728,3,0,13990,1,1990,1,14,1990,1
729,2,2,8980,6,2011,0,0,2011,0
730,2,0,1190,9,2013,0,0,2013,0
731,0,0,15270,1,1990,1,10,1990,1
732,0,2,16107,1,1990,0,0,1990,0
733,1,1,860,10,1999,0,0,1999,0
734,0,0,220,1,1990,1,36,1990,3
735,3,2,1920,4,2005,0,0,2005,0
736,2,2,1650,1,1990,1,14,1990,1
737,0,0,100,5,2007,1,31,2007,1
738,3,2,5980,10,2005,0,0,2005,0
739,3,2,2770,6,2008,1,22,2008,1
740,3,0,6400,3,2014,0,0,2014,0
741,3,2,11900,1,1990,0,0,1990,0
742,3,2,4380,1,1990,0,0,1990,0
743,0,0,6710,11,2003,1,14,2003,1
744,0,0,1370,12,2011,1,40,2011,1
745,0,0,16107,11,2013,1,37,2013,1
746,3,2,4330,2,2011,1,35,2011,3
747,2,2,16107,8,2008,0,0,2008,0
748,3,0,2380,3,2010,1,14,2010,1
749,0,0,3410,8,2011,1,14,2011,1
750,3,0,8670,2,2002,1,14,2002,1
751,0,0,650,10,2006,0,0,2006,0
752,0,0,970,3,2013,1,31,2013,2
753,3,2,540,11,2012,1,35,2012,3
754,2,2,380,5,2008,1,10,2008,3
755,3,2,13130,12,2003,0,0,2003,0
756,0,2,50,1,1990,1,40,1990,1
757,0,2,3450,1,1990,0,0,1990,0
758,0,2,16107,6,2008,0,0,2008,0
759,0,0,110,11,2012,1,31,2012,2
760,0,0,560,1,2011,0,0,2011,0
761,0,0,2390,9,2012,0,0,2012,0
762,3,2,1280,1,1990,1,10,1990,3
763,3,2,16107,3,2010,0,0,2010,0
764,0,2,16107,1,1990,1,10,1990,3
765,0,2,16107,5,1999,1,37,1999,1
766,3,2,9820,1,1990,0,0,1990,0
767,0,2,13080,1,1990,0,0,1990,0
768,0,2,2630,9,2012,0,0,2012,0
769,1,1,840,1,1990,1,48,1990,1
770,0,2,100,4,2015,0,0,2015,0
771,0,0,16107,9,2007,0,0,2007,0
772,3,2,1850,1,1990,0,0,1990,0
773,0,0,200,1,1990,0,0,1990,0
774,0,2,640,9,2013,0,0,2013,0
775,3,2,6970,12,2005,1,22,2005,1
776,2,0,700,4,2009,1,14,2009,1
777,3,2,8250,10,2004,1,10,2004,3
778,0,0,340,6,2003,1,40,2003,1
779,0,0,16107,4,2004,0,0,2004,0
780,0,0,16107,1,1990,0,0,1990,0
781,0,0,630,4,2007,0,0,2007,0
782,2,2,5390,8,2003,1,1,2003,1
783,3,2,15490,1,1990,0,0,1990,0
784,0,0,560,10,2014,1,10,2014,1
785,3,2,970,7,2005,1,31,2005,2
786,0,0,290,11,2006,1,5,2006,2
787,2,2,3210,6,2009,0,0,2009,0
788,0,2,1530,3,2013,0,0,2013,0
789,0,2,9770,7,2003,0,0,2003,0
790,3,2,9070,12,2003,0,0,2003,0
791,0,0,5950,4,2007,0,0,2007,0
792,3,0,16107,10,2009,1,18,2009,2
793,3,0,2710,7,2006,0,0,2006,0
794,2,2,5090,9,2006,0,0,2006,0
795,3,0,510,1,1990,1,35,1990,3
796,0,2,7180,11,2012,0,0,2012,0
797,0,0,2090,10,2012,1,40,2012,1
798,0,0,9560,4,2001,0,0,2001,0
799,0,2,2700,1,1990,0,0,1990,0
800,3,0,2020,7,2014,0,0,2014,0
801,3,0,16107,4,2013,0,0,2013,0
802,0,2,910,1,1990,1,22,1990,2
803,3,0,1760,1,1990,1,10,1990,3
804,2,2,2100,1,1990,1,1,1990,1
805,3,0,16107,10,2011,1,10,2011,3
806,3,0,260,1,1990,1,44,1990,2
807,0,0,3870,4,2008,0,0,2008,0
808,0,0,16107,1,1990,1,31,1990,2
809,0,0,12770,10,2000,0,0,2000,0
810,3,2,9640,11,2013,0,0,2013,0
811,0,0,410,9,2012,0,0,2012,0
812,3,0,2590,9,2012,0,0,2012,0
813,0,0,1560,9,2003,0,0,2003,0
814,3,2,16107,7,2013,0,0,2013,0
815,0,0,590,1,1900,1,40,1900,1
816,2,2,460,1,1990,0,0,1990,0
817,0,0,140,3,2006,0,0,2006,0
818,3,0,490,1,1990,1,35,1990,3
819,0,2,720,10,2014,0,0,2014,0
820,0,2,1650,1,1990,1,40,1990,1
821,0,0,1700,9,2009,0,0,2009,0
822,0,2,410,11,2010,1,48,2010,3
823,0,2,16107,11,2010,0,0,2010,0
824,0,0,16107,1,1990,0,0,1990,0
825,0,0,380,5,2011,1,40,2011,1
826,0,2,7980,6,2005,0,0,2005,0
827,0,2,250,1,2005,0,0,2005,0
828,3,2,3290,12,2014,0,0,2014,0
829,2,0,110,1,1990,0,0,1990,0
830,0,2,6320,1,1990,1,5,1990,1
831,0,0,800,6,2007,0,0,2007,0
832,3,0,5070,1,1990,1,45,1990,2
833,3,2,3290,12,1999,1,35,1999,3
834,0,0,3470,3,2012,0,0,2012,0
835,0,0,2890,12,2007,1,10,2007,3
836,0,0,2720,9,2012,0,0,2012,0
837,0,2,14600,4,2015,0,0,2015,0
838,3,2,6890,1,1990,1,48,1990,3
839,2,0,240,1,2015,0,0,2015,0
840,0,0,1070,9,2009,0,0,2009,0
841,0,0,16107,8,2004,0,0,2004,0
842,3,2,1200,11,2007,0,0,2007,0
843,2,0,60,4,2006,0,0,2006,0
844,0,0,2030,9,2012,1,18,2012,2
845,3,0,7860,11,2005,1,14,2005,1
846,0,2,8860,4,2004,1,37,2004,1
847,2,2,190,1,1990,1,31,1990,2
848,0,2,370,7,2007,1,14,2007,1
849,2,2,5000,1,1990,0,0,1990,0
850,3,0,1120,5,2007,1,31,2007,1
851,3,2,2330,1,1990,1,49,1990,3
852,2,0,940,4,2004,1,14,2004,1
853,0,0,14040,1,1990,0,0,1990,0
854,2,0,4770,1,1990,1,13,1990,1
855,0,0,3440,1,1990,1,45,1990,2
856,0,0,3020,2,2010,0,0,2010,0
857,2,0,6270,8,2005,1,23,2005,3
858,0,0,3370,12,2008,1,40,2008,1
859,2,0,16107,7,2015,0,0,2015,0
860,2,2,5980,2,2010,0,0,2010,0
861,2,2,740,1,1990,1,14,1990,3
862,0,2,2840,3,2010,1,14,2010,1
863,0,2,16107,11,2010,0,0,2010,0
864,0,0,1020,10,2012,1,45,2012,2
865,3,2,2640,1,1990,0,0,1990,0
866,3,0,9680,1,1990,1,5,1990,2
867,3,2,16107,9,2012,0,0,2012,0
868,3,2,1360,8,2005,1,10,2005,1
869,2,0,230,10,2001,1,14,2001,1
870,0,0,780,4,2009,0,0,2009,0
871,3,2,10620,1,1990,0,0,1990,0
872,0,2,3860,9,2014,1,23,2014,3
873,0,0,2040,11,2008,0,0,2008,0
874,0,0,3210,1,1990,0,0,1990,0
875,3,0,5070,11,2007,1,18,2007,2
876,0,0,16107,4,2005,1,18,2005,2
877,0,2,16107,1,1990,0,0,1990,0
878,3,2,1100,12,2014,0,0,2014,0
879,3,0,2325,1,1990,1,5,1990,2
880,0,2,4570,1,1990,0,0,1990,0
881,0,0,180,3,2008,1,31,2008,2
882,0,0,30,4,2013,0,0,2013,0
883,0,0,3200,6,2005,0,0,2005,0
884,3,2,7550,1,1990,0,0,1990,0
885,0,0,480,12,2005,0,0,2005,0
886,0,2,12430,10,2004,0,0,2004,0
887,3,0,16107,1,1990,1,37,1990,1
888,3,0,4450,6,2012,1,35,2012,3
889,3,0,16107,12,2005,0,0,2005,0
890,0,0,4450,1,1990,1,14,1990,1
891,0,2,350,1,1990,1,31,1990,2
892,0,0,16107,4,2002,0,0,2002,0
893,0,0,130,1,1990,1,1,1990,1
894,0,0,190,11,2012,0,0,2012,0
895,0,2,4150,1,1990,0,0,1990,0
896,0,2,170,9,2012,0,0,2012,0
897,2,2,3290,1,2007,1,5,2007,2
898,0,0,16107,1,1990,0,0,1990,0
899,3,0,2590,1,1990,1,13,1990,1
900,0,0,3920,4,2005,1,40,2005,1
901,0,2,3170,4,2014,0,0,2014,0
902,0,0,310,5,2015,1,40,2015,1
903,3,2,7290,9,2014,0,0,2014,0
904,3,2,570,7,2013,1,14,2013,1
905,0,0,90,6,2014,0,0,2014,0
906,0,0,90,7,2010,0,0,2010,0
907,0,2,250,1,1990,0,0,1990,0
908,0,0,1980,7,2010,1,37,2010,1
909,0,2,1680,1,1990,1,45,1990,2
910,3,2,12480,1,1990,1,1,1990,1
911,0,2,16107,1,1990,0,0,1990,0
912,2,2,3100,5,2010,0,0,2010,0
913,0,0,280,1,1990,0,0,1990,0
914,2,2,2640,4,2011,1,22,2011,3
915,3,2,650,3,2013,1,40,2013,1
916,0,0,90,11,2012,0,0,2012,0
917,0,0,7240,2,2010,0,0,2010,0
918,0,2,16107,4,2015,0,0,2015,0
919,0,0,2620,1,1990,1,45,1990,2
920,0,0,850,2,2012,1,40,2012,1
921,0,0,840,9,2006,0,0,2006,0
922,3,0,2110,3,2006,0,0,2006,0
923,0,0,280,9,2008,0,0,2008,0
924,0,0,6420,4,2011,1,1,2011,1
925,2,0,470,3,2007,1,1,2007,1
926,3,2,5150,3,2011,1,13,2011,1
927,0,0,480,1,1990,0,0,1990,0
928,3,2,1090,1,1990,1,31,1990,2
929,0,2,4820,9,2013,0,0,2013,0
930,0,0,70,1,1990,0,0,1990,0
931,0,2,1480,9,2011,1,1,2011,1
932,0,0,15700,1,1990,1,13,1990,1
933,0,2,6270,2,2005,0,0,2005,0
934,0,2,5460,1,1990,1,14,1990,1
935,0,2,16107,6,2010,0,0,2010,0
936,0,0,580,2,2008,0,0,2008,0
937,3,0,2810,1,1990,1,10,1990,1
938,0,0,2820,9,2009,0,0,2009,0
939,3,0,1340,1,1990,0,0,1990,0
940,3,2,6470,9,2012,0,0,2012,0
941,0,0,1200,12,2011,1,31,2011,1
942,3,2,6860,1,1990,1,18,1990,1
943,3,2,16107,1,1990,0,0,1990,0
944,2,0,1670,7,2015,0,0,2015,0
945,0,2,12480,3,2011,0,0,2011,0
946,0,0,2220,12,2011,1,14,2011,1
947,0,0,460,3,2014,1,13,2014,1
948,1,1,1430,1,1990,0,0,1990,0
949,0,0,870,3,2006,0,0,2006,0
950,0,0,8460,11,1994,0,0,1994,0
951,3,2,710,1,1990,1,40,1990,1
952,3,2,6300,10,2013,0,0,2013,0
953,0,0,16107,4,2006,1,22,2006,3
954,0,0,390,2,2013,1,10,2013,1
955,3,2,1690,7,2009,1,36,2009,3
956,0,0,2330,10,2014,1,18,2014,2
957,3,2,1420,11,2012,0,0,2012,0
958,0,0,440,11,2013,0,0,2013,0
959,0,2,1060,12,2005,0,0,2005,0
960,3,0,8990,1,1990,1,31,1990,2
961,3,2,9430,1,1990,0,0,1990,0
962,2,0,260,1,1990,0,0,1990,0
963,0,2,16107,11,2013,0,0,2013,0
964,0,0,270,1,1990,1,5,1990,2
965,0,2,110,1,1990,0,0,1990,0
966,0,0,760,2,2008,0,0,2008,0
967,0,2,3560,9,2013,1,36,2013,1
968,2,0,1190,1,1990,0,0,1990,0
969,0,2,600,11,1999,1,10,1999,1
970,0,0,910,12,2014,1,37,2014,1
971,2,0,1140,5,2011,1,14,2011,3
972,0,0,14960,1,1990,0,0,1990,0
973,3,2,330,1,1990,1,28,1990,1
974,0,0,150,3,2011,1,40,2011,1
975,0,2,9630,1,1990,1,14,1990,1
976,0,0,4180,1,1990,0,0,1990,0
977,0,0,520,9,2005,1,13,2005,1
978,2,2,3890,1,1990,0,0,1990,0
979,0,2,2270,11,2005,1,14,2005,1
980,0,0,4420,9,2005,0,0,2005,0
981,3,2,2620,11,2002,0,0,2002,0
982,3,0,16107,1,1990,0,0,1990,0
983,0,0,40,3,2014,1,1,2014,1
984,2,0,440,1,1990,1,1,1990,1
985,2,2,490,5,2007,1,13,2007,1
986,0,0,620,10,2014,1,18,2014,2
987,2,0,1690,6,2007,0,0,2007,0
988,0,0,30,11,2012,0,0,2012,0
989,0,0,1640,6,2006,1,40,2006,1
990,3,0,16107,1,1990,0,0,1990,0
991,0,0,1010,1,1990,0,0,1990,0
992,0,0,2480,7,1990,0,0,1990,0
993,3,2,3460,10,2013,1,10,2013,1
994,0,0,2290,7,2011,1,1,2011,1
995,3,0,6560,12,2013,0,0,2013,0
996,2,0,2870,7,2015,1,13,2015,1
997,3,2,5840,7,2010,1,37,2010,1
998,0,0,780,9,2005,1,5,2005,2
999,3,2,15140,2,2002,1,37,2002,1
1000,0,2,2230,5,2009,1,40,2009,1
1001,2,0,16107,1,1990,1,14,1990,1
1002,3,2,1130,11,2008,0,0,2008,0
1003,0,0,170,7,2013,1,27,2013,1
1004,3,2,970,1,1990,1,9,1990,3
1005,0,0,6480,1,1990,0,0,1990,0
1006,2,2,3890,11,2006,1,5,2006,2
1007,2,2,4180,9,2012,0,0,2012,0
1008,0,2,30,9,2010,0,0,2010,0
1009,0,0,230,7,2004,1,10,2004,1
1010,3,2,4610,6,2010,1,18,2010,2
1011,0,2,490,9,2012,1,18,2012,2
1012,3,2,6330,6,2004,1,39,2004,1
1013,0,0,630,2,2015,1,31,2015,2
1014,0,2,210,1,1990,1,31,1990,1
1015,3,2,9910,12,2010,1,9,2010,3
1016,2,2,550,1,1990,1,35,1990,3
1017,2,0,110,11,2008,0,0,2008,0
1018,2,2,140,9,2012,0,0,2012,0
1019,3,2,2740,7,2014,1,13,2014,1
1020,0,0,40,8,2015,0,0,2015,0
1021,0,0,1080,5,2011,0,0,2011,0
1022,0,2,1520,1,1990,0,0,1990,0
1023,2,0,3740,2,2002,1,14,2002,1
1024,2,2,1990,1,2012,0,0,2012,0
1025,0,0,720,11,2009,0,0,2009,0
1026,2,0,450,6,2011,1,48,2011,3
1027,0,2,190,6,2008,1,40,2008,1
1028,0,0,150,1,1990,1,31,1990,1
1029,0,0,1590,3,2006,0,0,2006,0
1030,0,0,16107,4,2008,0,0,2008,0
1031,3,0,590,5,2001,0,0,2001,0
1032,3,2,270,2,2013,1,40,2013,1
1033,0,0,7680,3,2006,0,0,2006,0
1034,0,0,13750,4,2015,0,0,2015,0
1035,0,0,16107,1,1990,0,0,1990,0
1036,3,2,9560,1,1990,1,36,1990,1
1037,0,2,150,1,1990,0,0,1990,0
1038,3,0,16107,10,2013,0,0,2013,0
1039,0,2,70,6,1990,1,22,1990,3
1040,0,0,4030,2,2013,1,10,2013,1
1041,2,0,1600,8,2013,1,40,2013,1
1042,0,0,3440,1,1990,1,31,1990,2
1043,2,0,420,3,2006,0,0,2006,0
1044,2,0,240,4,2015,1,13,2015,1
1045,0,2,16107,12,2013,0,0,2013,0
1046,3,2,16107,4,2005,0,0,2005,0
1047,0,0,3750,1,1990,1,45,1990,2
1048,3,2,1860,9,2012,1,40,2012,1
1049,0,0,370,7,2012,1,14,2012,1
1050,3,2,13170,8,2014,1,9,2014,3
1051,2,0,200,7,1998,1,1,1998,1
1052,0,2,5080,1,1990,1,31,1990,2
1053,0,0,1710,7,2015,0,0,2015,0
1054,0,2,13190,1,1990,1,45,1990,2
1055,2,0,1980,4,2009,0,0,2009,0
1056,3,2,5350,1,1990,1,40,1990,1
1057,3,2,3230,11,2011,0,0,2011,0
1058,0,2,180,1,1990,1,35,1990,3
1059,2,0,3380,4,2013,0,0,2013,0
1060,0,2,3430,1,1990,1,31,1990,2
1061,3,2,8110,1,1990,0,0,1990,0
1062,3,0,190,9,2012,1,40,2012,2
1063,0,2,6250,1,1990,0,0,1990,0
1064,0,2,420,1,1990,0,0,1990,0
1065,0,0,1290,1,1990,1,35,1990,3
1066,0,0,3350,1,1990,0,0,1990,0
1067,3,2,12020,7,2009,0,0,2009,0
1068,3,2,5010,1,1990,1,5,1990,1
1069,0,2,16107,1,1990,1,14,1990,1
1070,2,2,400,10,2008,0,0,2008,0
1071,0,0,820,3,2012,1,35,2012,3
1072,0,2,5380,8,2015,1,5,2015,2
1073,0,2,1710,1,1990,1,44,1990,1
1074,2,2,3330,10,2001,1,14,2001,1
1075,0,2,1410,10,2013,0,0,2013,0
1076,0,2,90,1,1990,1,1,1990,1
1077,0,0,3750,11,2001,1,35,2001,3
1078,3,2,670,1,1990,1,40,1990,1
1079,0,0,16107,1,1990,1,37,1990,1
1080,0,0,2410,1,1990,1,40,1990,1
1081,1,0,400,3,2006,0,0,2006,0
1082,2,0,440,4,2002,0,0,2002,0
1083,3,2,11540,1,1990,1,5,1990,2
1084,0,0,190,1,1990,1,13,1990,1
1085,2,0,4030,2,2015,0,0,2015,0
1086,0,0,180,11,2013,1,18,2013,2
1087,3,2,2210,11,2011,0,0,2011,0
1088,0,0,4300,3,2009,1,27,2009,1
1089,3,0,5220,5,2009,0,0,2009,0
1090,0,0,330,1,1990,1,14,1990,1
1091,0,2,9990,1,1990,0,0,1990,0
1092,0,0,300,7,2000,1,40,2000,1
1093,2,2,10450,6,2009,0,0,2009,0
1094,3,0,2380,3,2013,1,40,2013,1
1095,0,0,690,6,2007,1,14,2007,1
1096,0,2,1130,1,1990,1,10,1990,3
1097,1,1,720,3,2002,0,0,2002,0
1098,0,0,1830,11,2004,0,0,2004,0
1099,0,2,200,4,2013,1,14,2013,1
1100,0,0,540,1,1990,1,14,1990,1
1101,3,2,4060,9,2012,0,0,2012,0
1102,0,0,850,11,2012,1,40,2012,1
1103,3,2,1340,10,2006,1,5,2006,2
1104,3,0,260,2,2012,1,14,2012,1
1105,2,2,330,11,2008,1,5,2008,2
1106,0,2,5330,9,2011,1,31,2011,1
1107,0,0,1400,6,2012,1,13,2012,1
1108,0,0,540,4,2004,0,0,2004,0
1109,2,0,3490,4,2011,1,22,2011,1
1110,2,2,900,9,2010,0,0,2010,0
1111,0,0,1900,6,2014,1,31,2014,1
1112,2,2,1880,4,2006,0,0,2006,0
1113,0,2,9260,1,1990,0,0,1990,0
1114,0,2,870,1,1990,0,0,1990,0
1115,3,2,5350,1,1990,1,22,1990,3
